vinho_id,rotulo,ano_producao,uva_id,pais_producao_id
6,right-arneis,1978,0,3
157,concentric-barolo,1978,0,1
159,tractable-arneis,1978,0,1
162,recursive-riesling,1978,0,3
191,green-muscat,1978,0,0
321,allegro-pinot,1978,0,3
349,worn-grappa,1978,0,1
399,oriented-madeira,1978,0,0
414,lower-beaujolais,1978,0,2
491,concentric-rosé,1978,0,0
5,emerald-zinfandel,1948,1,2
92,ordered-burgundy,1948,1,0
196,orthogonal-muscat,1948,1,2
219,coherent-chablis,1948,1,0
392,heather-dolcetto,1920,10,0
8,brownian-chardonnay,1996,11,2
156,light-chianti,1996,11,0
199,freezing-blanc,1996,11,0
207,sunny-chianti,1996,11,1
217,red-mead,1996,11,3
243,charcoal-madeira,1996,11,2
254,plain-shiraz,1996,11,3
263,grandioso-barbaresco,1996,11,2
355,freezing-chianti,1996,11,2
429,matte-blanc,1996,11,2
493,stone-moscato,1996,11,1
104,partial-chardonnay,1916,12,0
145,pallid-chablis,1916,12,2
216,brutal-burgundy,1916,12,0
245,cold-barolo,1916,12,1
250,partial-beaujolais,1916,12,1
286,proper-lambrusco,1916,12,1
315,simple-chardonnay,1916,12,0
376,optical-pinot,1916,12,0
35,warm-champagne,2002,13,1
114,plumb-shiraz,2002,13,1
275,bounded-merlot,2002,13,3
346,wood-chinon,2002,13,3
437,direct-grappa,2002,13,0
115,ternary-port,1976,14,2
131,product-sherry,1976,14,2
347,round-burgundy,1976,14,2
3,bright-bardolino,1994,15,0
113,adiabatic-sauvignon,1994,15,3
144,chilly-prosecco,1994,15,1
163,neat-chinon,1994,15,0
171,maroon-banylus,1994,15,3
179,gritty-riesling,1994,15,2
194,laminated-chinon,1994,15,3
261,principal-champagne,1994,15,1
268,direct-chablis,1994,15,0
352,terminal-mead,1994,15,1
357,windy-barolo,1994,15,1
470,rowdy-barbaresco,1994,15,1
42,jovial-sherry,1980,16,2
66,inverse-chinon,1980,16,1
93,brave-riesling,1980,16,1
148,nondeterministic-auslese,1980,16,1
248,quick-merlot,1980,16,0
283,chamfered-pinot,1980,16,2
299,naive-barbaresco,1980,16,1
372,internal-zinfandel,1980,16,3
412,broad-cabernet,1980,16,2
434,free-mead,1980,16,2
457,chestnut-auslese,1980,16,1
459,easy-shiraz,1980,16,3
26,cold-marsanne,2006,17,1
80,wan-sauvignon,2006,17,3
279,buoyant-cabernet,2006,17,2
343,magnetic-beaujolais,2006,17,2
390,rosy-prosecco,2006,17,1
